Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Measles,El Dorado,2003,Male,0,83795,0.0,0.0,4.402,-
Measles,El Dorado,2004,Total,0,170304,0.0,0.0,2.166,-
Measles,El Dorado,2004,Female,0,85200,0.0,0.0,4.33,-
Measles,El Dorado,2004,Male,0,85104,0.0,0.0,4.334,-
Measles,El Dorado,2005,Total,0,173181,0.0,0.0,2.13,-
Measles,El Dorado,2005,Female,0,86647,0.0,0.0,4.257,-
Measles,El Dorado,2005,Male,0,86534,0.0,0.0,4.263,-
Measles,El Dorado,2006,Total,0,175258,0.0,0.0,2.105,-
Measles,El Dorado,2006,Female,0,87654,0.0,0.0,4.208,-
Measles,El Dorado,2006,Male,0,87604,0.0,0.0,4.211,-
Measles,El Dorado,2007,Total,0,177195,0.0,0.0,2.082,-
Measles,El Dorado,2007,Female,0,88622,0.0,0.0,4.162,-
Measles,El Dorado,2007,Male,0,88573,0.0,0.0,4.165,-
Measles,El Dorado,2008,Total,0,178599,0.0,0.0,2.065,-
Measles,El Dorado,2008,Female,0,89339,0.0,0.0,4.129,-
Measles,El Dorado,2008,Male,0,89260,0.0,0.0,4.133,-
Measles,El Dorado,2009,Total,0,179701,0.0,0.0,2.053,-
Measles,El Dorado,2009,Female,0,89876,0.0,0.0,4.104,-
Measles,El Dorado,2009,Male,0,89825,0.0,0.0,4.107,-
Measles,El Dorado,2010,Total,0,180925,0.0,0.0,2.039,-
Measles,El Dorado,2010,Female,0,90414,0.0,0.0,4.08,-
Measles,El Dorado,2010,Male,0,90511,0.0,0.0,4.076,-
Measles,El Dorado,2011,Total,0,180639,0.0,0.0,2.042,-
Measles,El Dorado,2011,Female,0,90341,0.0,0.0,4.083,-
Measles,El Dorado,2011,Male,0,90298,0.0,0.0,4.085,-
Measles,El Dorado,2012,Total,0,182640,0.0,0.0,2.02,-
Measles,El Dorado,2012,Female,0,91305,0.0,0.0,4.04,-
Measles,El Dorado,2012,Male,0,91335,0.0,0.0,4.039,-
Measles,El Dorado,2013,Total,0,182958,0.0,0.0,2.016,-
Measles,El Dorado,2013,Female,0,91508,0.0,0.0,4.031,-
Measles,El Dorado,2013,Male,0,91450,0.0,0.0,4.034,-
Measles,El Dorado,2014,Total,0,183957,0.0,0.0,2.005,-
Measles,El Dorado,2014,Female,0,92046,0.0,0.0,4.008,-
Measles,El Dorado,2014,Male,0,91911,0.0,0.0,4.013,-
Measles,Fresno,2001,Total,0,815003,0.0,0.0,0.453,-
Measles,Fresno,2001,Female,0,407172,0.0,0.0,0.906,-
Measles,Fresno,2001,Male,0,407831,0.0,0.0,0.905,-
Measles,Fresno,2002,Total,0,828637,0.0,0.0,0.445,-
Measles,Fresno,2002,Female,0,414207,0.0,0.0,0.891,-
Measles,Fresno,2002,Male,0,414430,0.0,0.0,0.89,-
Measles,Fresno,2003,Total,0,845917,0.0,0.0,0.436,-
Measles,Fresno,2003,Female,0,423018,0.0,0.0,0.872,-
Measles,Fresno,2003,Male,0,422899,0.0,0.0,0.872,-
Measles,Fresno,2004,Total,0,860226,0.0,0.0,0.429,-
Measles,Fresno,2004,Female,0,430198,0.0,0.0,0.857,-
Measles,Fresno,2004,Male,0,430028,0.0,0.0,0.858,-
Measles,Fresno,2005,Total,0,871910,0.0,0.0,0.423,-
Measles,Fresno,2005,Female,0,436052,0.0,0.0,0.846,-
Measles,Fresno,2005,Male,0,435858,0.0,0.0,0.846,-
Measles,Fresno,2006,Total,0,886376,0.0,0.0,0.416,-
Measles,Fresno,2006,Female,0,443403,0.0,0.0,0.832,-
Measles,Fresno,2006,Male,0,442973,0.0,0.0,0.833,-
Measles,Fresno,2007,Total,0,899826,0.0,0.0,0.41,-
Measles,Fresno,2007,Female,0,450080,0.0,0.0,0.82,-
Measles,Fresno,2007,Male,0,449746,0.0,0.0,0.82,-
Measles,Fresno,2008,Total,0,913239,0.0,0.0,0.404,-
Measles,Fresno,2008,Female,0,456755,0.0,0.0,0.808,-
Measles,Fresno,2008,Male,0,456484,0.0,0.0,0.808,-
Measles,Fresno,2009,Total,0,923895,0.0,0.0,0.399,-
Measles,Fresno,2009,Female,0,461947,0.0,0.0,0.799,-
Measles,Fresno,2009,Male,0,461948,0.0,0.0,0.799,-
Measles,Fresno,2010,Total,0,932343,0.0,0.0,0.396,-
Measles,Fresno,2010,Female,0,466558,0.0,0.0,0.791,-
Measles,Fresno,2010,Male,0,465785,0.0,0.0,0.792,-
Measles,Fresno,2011,Total,0,939329,0.0,0.0,0.393,-
Measles,Fresno,2011,Female,0,469845,0.0,0.0,0.785,-
Measles,Fresno,2011,Male,0,469484,0.0,0.0,0.786,-
Measles,Fresno,2012,Total,0,948453,0.0,0.0,0.389,-
Measles,Fresno,2012,Female,0,474300,0.0,0.0,0.778,-
Measles,Fresno,2012,Male,0,474153,0.0,0.0,0.778,-
Measles,Fresno,2013,Total,0,956967,0.0,0.0,0.385,-
Measles,Fresno,2013,Female,0,478477,0.0,0.0,0.771,-
Measles,Fresno,2013,Male,0,478490,0.0,0.0,0.771,-
Measles,Fresno,2014,Total,0,967491,0.0,0.0,0.381,-
Measles,Fresno,2014,Female,0,483695,0.0,0.0,0.763,-
Measles,Fresno,2014,Male,0,483796,0.0,0.0,0.762,-
Measles,Glenn,2001,Total,0,26611,0.0,0.0,13.861,-
Measles,Glenn,2001,Female,0,13154,0.0,0.0,28.04,-
Measles,Glenn,2001,Male,0,13457,0.0,0.0,27.409,-
Measles,Glenn,2002,Total,0,26792,0.0,0.0,13.768,-
Measles,Glenn,2002,Female,0,13251,0.0,0.0,27.835,-
Measles,Glenn,2002,Male,0,13541,0.0,0.0,27.239,-
Measles,Glenn,2003,Total,0,27156,0.0,0.0,13.583,-
Measles,Glenn,2003,Female,0,13448,0.0,0.0,27.427,-
Measles,Glenn,2003,Male,0,13708,0.0,0.0,26.907,-
Measles,Glenn,2004,Total,0,27264,0.0,0.0,13.529,-
Measles,Glenn,2004,Female,0,13518,0.0,0.0,27.285,-
Measles,Glenn,2004,Male,0,13746,0.0,0.0,26.832,-
Measles,Glenn,2005,Total,0,27525,0.0,0.0,13.401,-
Measles,Glenn,2005,Female,0,13636,0.0,0.0,27.049,-
Measles,Glenn,2005,Male,0,13889,0.0,0.0,26.556,-
Measles,Glenn,2006,Total,0,27731,0.0,0.0,13.301,-
Measles,Glenn,2006,Female,0,13729,0.0,0.0,26.866,-
Measles,Glenn,2006,Male,0,14002,0.0,0.0,26.342,-
Measles,Glenn,2007,Total,0,28013,0.0,0.0,13.168,-
Measles,Glenn,2007,Female,0,13871,0.0,0.0,26.591,-
Measles,Glenn,2007,Male,0,14142,0.0,0.0,26.081,-
Measles,Glenn,2008,Total,0,28120,0.0,0.0,13.117,-
Measles,Glenn,2008,Female,0,13920,0.0,0.0,26.497,-
Measles,Glenn,2008,Male,0,14200,0.0,0.0,25.975,-
Measles,Glenn,2009,Total,0,28056,0.0,0.0,13.147,-
Measles,Glenn,2009,Female,0,13906,0.0,0.0,26.524,-
Measles,Glenn,2009,Male,0,14150,0.0,0.0,26.066,-
Measles,Glenn,2010,Total,0,28144,0.0,0.0,13.106,-
Measles,Glenn,2010,Female,0,13938,0.0,0.0,26.463,-
Measles,Glenn,2010,Male,0,14206,0.0,0.0,25.964,-
Measles,Glenn,2011,Total,0,28256,0.0,0.0,13.054,-
Measles,Glenn,2011,Female,0,13991,0.0,0.0,26.363,-
Measles,Glenn,2011,Male,0,14265,0.0,0.0,25.856,-
Measles,Glenn,2012,Total,0,28560,0.0,0.0,12.915,-
Measles,Glenn,2012,Female,0,14136,0.0,0.0,26.092,-
Measles,Glenn,2012,Male,0,14424,0.0,0.0,25.571,-
Measles,Glenn,2013,Total,0,28628,0.0,0.0,12.885,-
Measles,Glenn,2013,Female,0,14165,0.0,0.0,26.039,-
Measles,Glenn,2013,Male,0,14463,0.0,0.0,25.502,-
Measles,Glenn,2014,Total,0,28715,0.0,0.0,12.846,-
Measles,Glenn,2014,Female,0,14207,0.0,0.0,25.962,-
Measles,Glenn,2014,Male,0,14508,0.0,0.0,25.423,-
Measles,Humboldt,2001,Total,0,127348,0.0,0.0,2.897,-
Measles,Humboldt,2001,Female,0,64153,0.0,0.0,5.75,-
Measles,Humboldt,2001,Male,0,63195,0.0,0.0,5.837,-
Measles,Humboldt,2002,Total,0,128755,0.0,0.0,2.865,-
Measles,Humboldt,2002,Female,0,64785,0.0,0.0,5.694,-
Measles,Humboldt,2002,Male,0,63970,0.0,0.0,5.766,-
Measles,Humboldt,2003,Total,0,130179,0.0,0.0,2.834,-
Measles,Humboldt,2003,Female,0,65437,0.0,0.0,5.637,-
Measles,Humboldt,2003,Male,0,64742,0.0,0.0,5.698,-
Measles,Humboldt,2004,Total,0,131243,0.0,0.0,2.811,-
Measles,Humboldt,2004,Female,0,65925,0.0,0.0,5.595,-
Measles,Humboldt,2004,Male,0,65318,0.0,0.0,5.647,-
Measles,Humboldt,2005,Total,0,131689,0.0,0.0,2.801,-
Measles,Humboldt,2005,Female,0,66095,0.0,0.0,5.581,-
Measles,Humboldt,2005,Male,0,65594,0.0,0.0,5.624,-
Measles,Humboldt,2006,Total,0,132226,0.0,0.0,2.79,-
Measles,Humboldt,2006,Female,0,66298,0.0,0.0,5.564,-
Measles,Humboldt,2006,Male,0,65928,0.0,0.0,5.595,-
Measles,Humboldt,2007,Total,0,132657,0.0,0.0,2.781,-
Measles,Humboldt,2007,Female,0,66424,0.0,0.0,5.553,-
Measles,Humboldt,2007,Male,0,66233,0.0,0.0,5.569,-
Measles,Humboldt,2008,Total,0,133201,0.0,0.0,2.769,-
Measles,Humboldt,2008,Female,0,66619,0.0,0.0,5.537,-
Measles,Humboldt,2008,Male,0,66582,0.0,0.0,5.54,-
Measles,Humboldt,2009,Total,0,133766,0.0,0.0,2.758,-
Measles,Humboldt,2009,Female,0,66863,0.0,0.0,5.517,-
Measles,Humboldt,2009,Male,0,66903,0.0,0.0,5.514,-
Measles,Humboldt,2010,Total,0,134656,0.0,0.0,2.739,-
Measles,Humboldt,2010,Female,0,66755,0.0,0.0,5.526,-
Measles,Humboldt,2010,Male,0,67901,0.0,0.0,5.433,-
Measles,Humboldt,2011,Total,1,135174,0.74,0.019,4.122,*
Measles,Humboldt,2011,Female,1,66976,1.493,0.038,8.319,*
Measles,Humboldt,2011,Male,0,68198,0.0,0.0,5.409,-
Measles,Humboldt,2012,Total,0,134601,0.0,0.0,2.741,-
Measles,Humboldt,2012,Female,0,66729,0.0,0.0,5.528,-
Measles,Humboldt,2012,Male,0,67872,0.0,0.0,5.435,-
Measles,Humboldt,2013,Total,0,134698,0.0,0.0,2.739,-
Measles,Humboldt,2013,Female,0,66776,0.0,0.0,5.524,-
Measles,Humboldt,2013,Male,0,67922,0.0,0.0,5.431,-
Measles,Humboldt,2014,Total,1,134609,0.743,0.019,4.139,*
Measles,Humboldt,2014,Female,0,66722,0.0,0.0,5.529,-
Measles,Humboldt,2014,Male,1,67887,1.473,0.037,8.207,*
Measles,Imperial,2001,Total,0,144726,0.0,0.0,2.549,-
Measles,Imperial,2001,Female,0,69392,0.0,0.0,5.316,-
Measles,Imperial,2001,Male,0,75334,0.0,0.0,4.897,-
Measles,Imperial,2002,Total,0,147185,0.0,0.0,2.506,-
Measles,Imperial,2002,Female,0,70707,0.0,0.0,5.217,-
Measles,Imperial,2002,Male,0,76478,0.0,0.0,4.823,-
Measles,Imperial,2003,Total,0,150909,0.0,0.0,2.444,-
Measles,Imperial,2003,Female,0,72618,0.0,0.0,5.08,-
Measles,Imperial,2003,Male,0,78291,0.0,0.0,4.712,-
Measles,Imperial,2004,Total,0,153937,0.0,0.0,2.396,-
Measles,Imperial,2004,Female,0,74201,0.0,0.0,4.971,-
Measles,Imperial,2004,Male,0,79736,0.0,0.0,4.626,-
Measles,Imperial,2005,Total,0,157657,0.0,0.0,2.34,-
Measles,Imperial,2005,Female,0,76126,0.0,0.0,4.846,-
Measles,Imperial,2005,Male,0,81531,0.0,0.0,4.524,-
Measles,Imperial,2006,Total,0,162532,0.0,0.0,2.27,-
Measles,Imperial,2006,Female,0,78596,0.0,0.0,4.693,-
Measles,Imperial,2006,Male,0,83936,0.0,0.0,4.395,-
Measles,Imperial,2007,Total,0,166894,0.0,0.0,2.21,-
Measles,Imperial,2007,Female,0,80846,0.0,0.0,4.563,-
Measles,Imperial,2007,Male,0,86048,0.0,0.0,4.287,-
Measles,Imperial,2008,Total,0,170104,0.0,0.0,2.169,-
Measles,Imperial,2008,Female,0,82512,0.0,0.0,4.471,-
Measles,Imperial,2008,Male,0,87592,0.0,0.0,4.211,-
Measles,Imperial,2009,Total,0,173241,0.0,0.0,2.129,-
Measles,Imperial,2009,Female,0,84166,0.0,0.0,4.383,-
Measles,Imperial,2009,Male,0,89075,0.0,0.0,4.141,-
Measles,Imperial,2010,Total,0,175424,0.0,0.0,2.103,-
Measles,Imperial,2010,Female,0,85187,0.0,0.0,4.33,-
Measles,Imperial,2010,Male,0,90237,0.0,0.0,4.088,-
Measles,Imperial,2011,Total,0,177359,0.0,0.0,2.08,-
Measles,Imperial,2011,Female,0,86154,0.0,0.0,4.282,-
Measles,Imperial,2011,Male,0,91205,0.0,0.0,4.045,-
Measles,Imperial,2012,Total,0,178382,0.0,0.0,2.068,-
Measles,Imperial,2012,Female,0,86637,0.0,0.0,4.258,-
Measles,Imperial,2012,Male,0,91745,0.0,0.0,4.021,-
Measles,Imperial,2013,Total,0,179142,0.0,0.0,2.059,-
Measles,Imperial,2013,Female,0,86982,0.0,0.0,4.241,-
Measles,Imperial,2013,Male,0,92160,0.0,0.0,4.003,-
Measles,Imperial,2014,Total,0,181103,0.0,0.0,2.037,-
Measles,Imperial,2014,Female,0,88072,0.0,0.0,4.188,-
Measles,Imperial,2014,Male,0,93031,0.0,0.0,3.965,-
Measles,Inyo,2001,Total,0,18207,0.0,0.0,20.259,-
Measles,Inyo,2001,Female,0,9239,0.0,0.0,39.919,-
Measles,Inyo,2001,Male,0,8968,0.0,0.0,41.125,-
Measles,Inyo,2002,Total,0,18415,0.0,0.0,20.03,-
Measles,Inyo,2002,Female,0,9327,0.0,0.0,39.543,-
Measles,Inyo,2002,Male,0,9088,0.0,0.0,40.582,-
Measles,Inyo,2003,Total,0,18507,0.0,0.0,19.93,-
Measles,Inyo,2003,Female,0,9356,0.0,0.0,39.42,-
Measles,Inyo,2003,Male,0,9151,0.0,0.0,40.303,-
Measles,Inyo,2004,Total,0,18559,0.0,0.0,19.875,-
Measles,Inyo,2004,Female,0,9366,0.0,0.0,39.378,-
Measles,Inyo,2004,Male,0,9193,0.0,0.0,40.119,-
Measles,Inyo,2005,Total,0,18463,0.0,0.0,19.978,-
Measles,Inyo,2005,Female,0,9309,0.0,0.0,39.619,-
Measles,Inyo,2005,Male,0,9154,0.0,0.0,40.29,-
Measles,Inyo,2006,Total,0,18421,0.0,0.0,20.023,-
Measles,Inyo,2006,Female,0,9267,0.0,0.0,39.799,-
Measles,Inyo,2006,Male,0,9154,0.0,0.0,40.29,-
Measles,Inyo,2007,Total,0,18447,0.0,0.0,19.995,-
Measles,Inyo,2007,Female,0,9261,0.0,0.0,39.824,-
Measles,Inyo,2007,Male,0,9186,0.0,0.0,40.15,-
Measles,Inyo,2008,Total,0,18383,0.0,0.0,20.065,-
Measles,Inyo,2008,Female,0,9209,0.0,0.0,40.049,-
Measles,Inyo,2008,Male,0,9174,0.0,0.0,40.202,-
Measles,Inyo,2009,Total,0,18448,0.0,0.0,19.994,-
Measles,Inyo,2009,Female,0,9205,0.0,0.0,40.067,-
Measles,Inyo,2009,Male,0,9243,0.0,0.0,39.902,-
Measles,Inyo,2010,Total,0,18530,0.0,0.0,19.906,-
Measles,Inyo,2010,Female,0,9132,0.0,0.0,40.387,-
Measles,Inyo,2010,Male,0,9398,0.0,0.0,39.244,-
Measles,Inyo,2011,Total,0,18666,0.0,0.0,19.761,-
Measles,Inyo,2011,Female,0,9185,0.0,0.0,40.154,-
Measles,Inyo,2011,Male,0,9481,0.0,0.0,38.901,-
Measles,Inyo,2012,Total,0,18578,0.0,0.0,19.854,-
Measles,Inyo,2012,Female,0,9124,0.0,0.0,40.422,-
Measles,Inyo,2012,Male,0,9454,0.0,0.0,39.012,-
Measles,Inyo,2013,Total,0,18584,0.0,0.0,19.848,-
Measles,Inyo,2013,Female,0,9133,0.0,0.0,40.383,-
Measles,Inyo,2013,Male,0,9451,0.0,0.0,39.024,-
Measles,Inyo,2014,Total,0,18612,0.0,0.0,19.818,-
Measles,Inyo,2014,Female,0,9144,0.0,0.0,40.334,-
Measles,Inyo,2014,Male,0,9468,0.0,0.0,38.954,-
Measles,Kern,2001,Total,0,679674,0.0,0.0,0.543,-
Measles,Kern,2001,Female,0,330250,0.0,0.0,1.117,-
Measles,Kern,2001,Male,0,349424,0.0,0.0,1.056,-
Measles,Kern,2002,Total,0,696504,0.0,0.0,0.53,-
Measles,Kern,2002,Female,0,338203,0.0,0.0,1.091,-
Measles,Kern,2002,Male,0,358301,0.0,0.0,1.03,-
Measles,Kern,2003,Total,0,717797,0.0,0.0,0.514,-
Measles,Kern,2003,Female,0,348293,0.0,0.0,1.059,-
Measles,Kern,2003,Male,0,369504,0.0,0.0,0.998,-
Measles,Kern,2004,Total,1,740022,0.135,0.003,0.753,*
Measles,Kern,2004,Female,1,358829,0.279,0.007,1.553,*
Measles,Kern,2004,Male,0,381193,0.0,0.0,0.968,-
Measles,Kern,2005,Total,0,761972,0.0,0.0,0.484,-
Measles,Kern,2005,Female,0,369284,0.0,0.0,0.999,-
Measles,Kern,2005,Male,0,392688,0.0,0.0,0.939,-
Measles,Kern,2006,Total,0,786220,0.0,0.0,0.469,-
Measles,Kern,2006,Female,0,380855,0.0,0.0,0.969,-
Measles,Kern,2006,Male,0,405365,0.0,0.0,0.91,-
Measles,Kern,2007,Total,0,805798,0.0,0.0,0.458,-
Measles,Kern,2007,Female,0,390363,0.0,0.0,0.945,-
Measles,Kern,2007,Male,0,415435,0.0,0.0,0.888,-
Measles,Kern,2008,Total,0,819891,0.0,0.0,0.45,-
Measles,Kern,2008,Female,0,397224,0.0,0.0,0.929,-
Measles,Kern,2008,Male,0,422667,0.0,0.0,0.873,-
Measles,Kern,2009,Total,0,831134,0.0,0.0,0.444,-
Measles,Kern,2009,Female,0,402699,0.0,0.0,0.916,-
Measles,Kern,2009,Male,0,428435,0.0,0.0,0.861,-
Measles,Kern,2010,Total,0,841158,0.0,0.0,0.439,-
Measles,Kern,2010,Female,0,404512,0.0,0.0,0.912,-
Measles,Kern,2010,Male,0,436646,0.0,0.0,0.845,-
Measles,Kern,2011,Total,0,848880,0.0,0.0,0.435,-
Measles,Kern,2011,Female,0,408373,0.0,0.0,0.903,-
Measles,Kern,2011,Male,0,440507,0.0,0.0,0.837,-
Measles,Kern,2012,Total,0,855974,0.0,0.0,0.431,-
Measles,Kern,2012,Female,0,411962,0.0,0.0,0.895,-
Measles,Kern,2012,Male,0,444012,0.0,0.0,0.831,-
Measles,Kern,2013,Total,0,865511,0.0,0.0,0.426,-
Measles,Kern,2013,Female,0,416808,0.0,0.0,0.885,-
Measles,Kern,2013,Male,0,448703,0.0,0.0,0.822,-
Measles,Kern,2014,Total,0,872322,0.0,0.0,0.423,-
Measles,Kern,2014,Female,0,420256,0.0,0.0,0.878,-
Measles,Kern,2014,Male,0,452066,0.0,0.0,0.816,-
Measles,Kings,2001,Total,0,132441,0.0,0.0,2.785,-
Measles,Kings,2001,Female,0,56448,0.0,0.0,6.535,-
Measles,Kings,2001,Male,0,75993,0.0,0.0,4.854,-
Measles,Kings,2002,Total,0,134664,0.0,0.0,2.739,-
Measles,Kings,2002,Female,0,57449,0.0,0.0,6.421,-
Measles,Kings,2002,Male,0,77215,0.0,0.0,4.777,-
Measles,Kings,2003,Total,0,138772,0.0,0.0,2.658,-
Measles,Kings,2003,Female,0,59166,0.0,0.0,6.235,-
Measles,Kings,2003,Male,0,79606,0.0,0.0,4.634,-
Measles,Kings,2004,Total,0,142617,0.0,0.0,2.587,-
Measles,Kings,2004,Female,0,60889,0.0,0.0,6.058,-
Measles,Kings,2004,Male,0,81728,0.0,0.0,4.514,-
Measles,Kings,2005,Total,0,144601,0.0,0.0,2.551,-
Measles,Kings,2005,Female,0,61768,0.0,0.0,5.972,-
Measles,Kings,2005,Male,0,82833,0.0,0.0,4.453,-
Measles,Kings,2006,Total,0,147496,0.0,0.0,2.501,-
Measles,Kings,2006,Female,0,63016,0.0,0.0,5.854,-
Measles,Kings,2006,Male,0,84480,0.0,0.0,4.366,-
Measles,Kings,2007,Total,0,150378,0.0,0.0,2.453,-
Measles,Kings,2007,Female,0,64272,0.0,0.0,5.739,-
Measles,Kings,2007,Male,0,86106,0.0,0.0,4.284,-
Measles,Kings,2008,Total,0,151834,0.0,0.0,2.43,-
Measles,Kings,2008,Female,0,64879,0.0,0.0,5.686,-
Measles,Kings,2008,Male,0,86955,0.0,0.0,4.242,-
Measles,Kings,2009,Total,0,151794,0.0,0.0,2.43,-
Measles,Kings,2009,Female,0,64867,0.0,0.0,5.687,-
Measles,Kings,2009,Male,0,86927,0.0,0.0,4.244,-
Measles,Kings,2010,Total,0,152693,0.0,0.0,2.416,-
Measles,Kings,2010,Female,0,66218,0.0,0.0,5.571,-
Measles,Kings,2010,Male,0,86475,0.0,0.0,4.266,-
Measles,Kings,2011,Total,0,151685,0.0,0.0,2.432,-
Measles,Kings,2011,Female,0,65733,0.0,0.0,5.612,-
Measles,Kings,2011,Male,0,85952,0.0,0.0,4.292,-
Measles,Kings,2012,Total,0,150643,0.0,0.0,2.449,-
Measles,Kings,2012,Female,0,65236,0.0,0.0,5.655,-
Measles,Kings,2012,Male,0,85407,0.0,0.0,4.319,-
Measles,Kings,2013,Total,0,150507,0.0,0.0,2.451,-
Measles,Kings,2013,Female,0,65192,0.0,0.0,5.658,-
Measles,Kings,2013,Male,0,85315,0.0,0.0,4.324,-
Measles,Kings,2014,Total,0,149788,0.0,0.0,2.463,-
Measles,Kings,2014,Female,0,64992,0.0,0.0,5.676,-
Measles,Kings,2014,Male,0,84796,0.0,0.0,4.35,-
Measles,Lake,2001,Total,0,60046,0.0,0.0,6.143,-
Measles,Lake,2001,Female,0,30250,0.0,0.0,12.194,-
Measles,Lake,2001,Male,0,29796,0.0,0.0,12.38,-
Measles,Lake,2002,Total,0,61005,0.0,0.0,6.047,-
Measles,Lake,2002,Female,0,30720,0.0,0.0,12.007,-
Measles,Lake,2002,Male,0,30285,0.0,0.0,12.18,-
Measles,Lake,2003,Total,0,61981,0.0,0.0,5.951,-
Measles,Lake,2003,Female,0,31191,0.0,0.0,11.826,-
Measles,Lake,2003,Male,0,30790,0.0,0.0,11.98,-
Measles,Lake,2004,Total,0,62633,0.0,0.0,5.89,-
Measles,Lake,2004,Female,0,31503,0.0,0.0,11.709,-
Measles,Lake,2004,Male,0,31130,0.0,0.0,11.849,-
Measles,Lake,2005,Total,0,63107,0.0,0.0,5.845,-
Measles,Lake,2005,Female,0,31709,0.0,0.0,11.633,-
Measles,Lake,2005,Male,0,31398,0.0,0.0,11.748,-
Measles,Lake,2006,Total,0,63792,0.0,0.0,5.783,-
Measles,Lake,2006,Female,0,31980,0.0,0.0,11.534,-
Measles,Lake,2006,Male,0,31812,0.0,0.0,11.595,-
Measles,Lake,2007,Total,0,63986,0.0,0.0,5.765,-
Measles,Lake,2007,Female,0,32024,0.0,0.0,11.518,-
Measles,Lake,2007,Male,0,31962,0.0,0.0,11.541,-
Measles,Lake,2008,Total,0,64370,0.0,0.0,5.731,-
Measles,Lake,2008,Female,0,32159,0.0,0.0,11.47,-
Measles,Lake,2008,Male,0,32211,0.0,0.0,11.452,-
Measles,Lake,2009,Total,0,64396,0.0,0.0,5.728,-
Measles,Lake,2009,Female,0,32169,0.0,0.0,11.467,-
Measles,Lake,2009,Male,0,32227,0.0,0.0,11.446,-
Measles,Lake,2010,Total,0,64602,0.0,0.0,5.71,-
Measles,Lake,2010,Female,0,32161,0.0,0.0,11.469,-
Measles,Lake,2010,Male,0,32441,0.0,0.0,11.37,-
Measles,Lake,2011,Total,0,64411,0.0,0.0,5.727,-
Measles,Lake,2011,Female,0,32084,0.0,0.0,11.497,-
Measles,Lake,2011,Male,0,32327,0.0,0.0,11.41,-
Measles,Lake,2012,Total,0,64204,0.0,0.0,5.745,-
Measles,Lake,2012,Female,0,32003,0.0,0.0,11.526,-
Measles,Lake,2012,Male,0,32201,0.0,0.0,11.455,-
Measles,Lake,2013,Total,0,64209,0.0,0.0,5.745,-
Measles,Lake,2013,Female,0,32011,0.0,0.0,11.523,-
Measles,Lake,2013,Male,0,32198,0.0,0.0,11.456,-
Measles,Lake,2014,Total,0,64744,0.0,0.0,5.697,-
Measles,Lake,2014,Female,0,32229,0.0,0.0,11.445,-
Measles,Lake,2014,Male,0,32515,0.0,0.0,11.345,-
Measles,Lassen,2001,Total,0,33650,0.0,0.0,10.962,-
Measles,Lassen,2001,Female,0,12262,0.0,0.0,30.079,-
Measles,Lassen,2001,Male,0,21388,0.0,0.0,17.246,-
Measles,Lassen,2002,Total,0,33603,0.0,0.0,10.977,-
Measles,Lassen,2002,Female,0,12184,0.0,0.0,30.272,-
Measles,Lassen,2002,Male,0,21419,0.0,0.0,17.221,-
Measles,Lassen,2003,Total,0,34053,0.0,0.0,10.832,-
Measles,Lassen,2003,Female,0,12307,0.0,0.0,29.969,-
Measles,Lassen,2003,Male,0,21746,0.0,0.0,16.962,-
Measles,Lassen,2004,Total,0,34574,0.0,0.0,10.669,-
Measles,Lassen,2004,Female,0,12495,0.0,0.0,29.518,-
Measles,Lassen,2004,Male,0,22079,0.0,0.0,16.706,-
Measles,Lassen,2005,Total,0,34528,0.0,0.0,10.683,-
Measles,Lassen,2005,Female,0,12495,0.0,0.0,29.518,-
Measles,Lassen,2005,Male,0,22033,0.0,0.0,16.741,-
Measles,Lassen,2006,Total,0,35011,0.0,0.0,10.536,-
Measles,Lassen,2006,Female,0,12622,0.0,0.0,29.222,-
Measles,Lassen,2006,Male,0,22389,0.0,0.0,16.475,-
Measles,Lassen,2007,Total,0,35749,0.0,0.0,10.318,-
Measles,Lassen,2007,Female,0,12839,0.0,0.0,28.728,-
Measles,Lassen,2007,Male,0,22910,0.0,0.0,16.1,-
Measles,Lassen,2008,Total,0,35120,0.0,0.0,10.503,-
Measles,Lassen,2008,Female,0,12631,0.0,0.0,29.201,-
Measles,Lassen,2008,Male,0,22489,0.0,0.0,16.402,-
Measles,Lassen,2009,Total,0,34773,0.0,0.0,10.608,-
Measles,Lassen,2009,Female,0,12461,0.0,0.0,29.599,-
Measles,Lassen,2009,Male,0,22312,0.0,0.0,16.532,-
Measles,Lassen,2010,Total,0,35145,0.0,0.0,10.496,-
Measles,Lassen,2010,Female,0,12629,0.0,0.0,29.205,-
Measles,Lassen,2010,Male,0,22516,0.0,0.0,16.382,-
Measles,Lassen,2011,Total,0,34677,0.0,0.0,10.637,-
Measles,Lassen,2011,Female,0,12465,0.0,0.0,29.59,-
Measles,Lassen,2011,Male,0,22212,0.0,0.0,16.606,-
Measles,Lassen,2012,Total,0,33719,0.0,0.0,10.939,-
Measles,Lassen,2012,Female,0,12115,0.0,0.0,30.444,-
Measles,Lassen,2012,Male,0,21604,0.0,0.0,17.074,-
Measles,Lassen,2013,Total,0,33686,0.0,0.0,10.95,-
Measles,Lassen,2013,Female,0,12104,0.0,0.0,30.472,-
Measles,Lassen,2013,Male,0,21582,0.0,0.0,17.091,-
Measles,Lassen,2014,Total,0,33613,0.0,0.0,10.974,-
Measles,Lassen,2014,Female,0,12089,0.0,0.0,30.51,-
Measles,Lassen,2014,Male,0,21524,0.0,0.0,17.137,-
